Name,Mass,Radius,Period,StTeff,StRadius,Letter
Kepler-168,,0.13,4.425391,6282.0,1.11,b
Kepler-169,,0.101,3.250619,4997.0,0.76,b
Kepler-169,,0.108,6.195469,4997.0,0.76,c
Kepler-169,,0.112,8.348125,4997.0,0.76,d
Kepler-169,,0.23,87.090195,4997.0,0.76,f
Kepler-170,,0.285,7.930592,5679.0,1.03,b
Kepler-170,,0.255,16.665863,5679.0,1.03,c
Kepler-171,,0.228,11.463462,5642.0,0.84,c
Kepler-171,,0.169,39.595519,5642.0,0.84,d
Kepler-172,,0.21,2.940309,5526.0,1.08,b
Kepler-172,,0.255,6.388996,5526.0,1.08,c
Kepler-172,,0.246,35.118736,5526.0,1.08,e
Kepler-173,,0.115,4.263742,6031.0,0.95,b
Kepler-173,,0.217,8.005777,6031.0,0.95,c
Kepler-174,,0.133,44.000529,4880.0,0.62,c
Kepler-174,,0.195,247.35373,4880.0,0.62,d
Kepler-175,,0.228,11.903515,6064.0,1.01,b
Kepler-176,,0.128,5.433074,5232.0,0.89,b
Kepler-176,,0.232,12.759712,5232.0,0.89,c
Kepler-176,,0.224,25.751974,5232.0,0.89,d
Kepler-177,0.024,0.633,49.412,5942.0,1.07,c
Kepler-178,,0.259,9.576694,5676.0,1.07,b
Kepler-178,,0.257,20.552802,5676.0,1.07,c
Kepler-179,,0.146,2.735926,5302.0,0.76,b
Kepler-179,,0.178,6.40013,5302.0,0.76,c
Kepler-180,,0.134,13.817124,5731.0,1.06,b
Kepler-180,,0.269,41.885775,5731.0,1.06,c
Kepler-181,,0.113,3.137873,5333.0,0.75,b
Kepler-181,,0.178,4.302149,5333.0,0.75,c
Kepler-182,,0.23,9.825792,6250.0,1.15,b
Kepler-182,,0.306,20.684342,6250.0,1.15,c
Kepler-183,,0.184,5.687945,5888.0,0.96,b
Kepler-183,,0.203,11.637071,5888.0,0.96,c
Kepler-184,,0.211,10.687576,5788.0,0.87,b
Kepler-184,,0.176,20.303005,5788.0,0.87,c
Kepler-184,,0.222,29.022358,5788.0,0.87,d
Kepler-185,,0.104,1.6329,5208.0,0.81,b
Kepler-185,,0.18,20.729042,5208.0,0.81,c
Kepler-186,,0.112,7.267302,3755.0,0.52,c
Kepler-186,,0.125,13.342996,3755.0,0.52,d
Kepler-186,,0.113,22.407704,3755.0,0.52,e
Kepler-187,,0.126,4.938864,6105.0,1.29,b
Kepler-187,,0.238,10.640263,6105.0,1.29,c
Kepler-188,,0.15,2.061897,6021.0,1.14,b
Kepler-189,,0.108,10.399931,5235.0,0.75,b
Kepler-189,,0.212,20.134866,5235.0,0.75,c
Kepler-190,,0.139,2.019999,5106.0,0.8,b
Kepler-190,,0.13,3.763024,5106.0,0.8,c
Kepler-191,,0.166,17.738506,5282.0,0.79,c
Kepler-192,,0.244,9.926746,5479.0,1.01,b
Kepler-192,,0.249,21.2234,5479.0,1.01,c
Kepler-193,,0.245,50.697494,6335.0,1.15,c
Kepler-194,,0.135,2.092281,6089.0,1.02,b
Kepler-194,,0.231,17.308032,6089.0,1.02,c
Kepler-195,,0.181,8.307872,5329.0,0.78,b
Kepler-195,,0.138,34.096863,5329.0,0.78,c
Kepler-196,,0.17,20.739886,5128.0,0.78,b
Kepler-197,,0.091,5.599308,6004.0,1.12,b
Kepler-197,,0.11,10.349695,6004.0,1.12,c
Kepler-197,,0.109,15.677563,6004.0,1.12,d
Kepler-197,,0.081,25.209715,6004.0,1.12,e
Kepler-198,,0.22,49.567416,5574.0,0.94,c
Kepler-199,,0.277,23.637604,5644.0,0.97,b
Kepler-199,,0.29,67.093408,5644.0,0.97,c
Kepler-200,,0.142,10.222157,5678.0,0.94,c
Kepler-201,,0.219,25.672083,6065.0,1.23,b
Kepler-201,,0.254,151.884058,6065.0,1.23,c
Kepler-203,,0.229,3.162697,5821.0,1.11,b
Kepler-203,,0.22,5.370647,5821.0,1.11,c
Kepler-203,,0.128,11.32972,5821.0,1.11,d
Kepler-204,,0.16,25.660593,5812.0,1.24,c
Kepler-205,,0.135,2.75564,4321.0,0.55,b
Kepler-205,,0.146,20.306546,4321.0,0.55,c
Kepler-206,,0.158,13.137471,5764.0,1.19,c
HD 142,,,349.7,6245.0,1.47,b
HD 142,,,6005.0,6245.0,1.47,c
HD 1605,,,577.9,4757.0,3.8,b
HD 4203,,,437.05,5702.0,,b
HD 4732,,,360.2,4959.0,5.4,b
HD 5319,,,886.0,4958.0,3.85,c
HD 7924,,,5.39792,5075.0,0.78,b
HD 7924,,,15.299,5075.0,0.78,c
HD 9446,,,30.052,5793.0,1.0,b
HD 9446,,,192.9,5793.0,1.0,c
HD 10180,,,16.357,5911.0,1.11,d
HD 10180,,,49.748,5911.0,1.11,e
HD 10180,,,122.744,5911.0,1.11,f
HD 10180,,,2205.0,5911.0,1.11,h
HD 11506,,,1627.5,6055.0,1.33,b
HD 11506,,,223.6,6055.0,1.33,c
HD 11964,,,37.91,5349.0,,c
HD 12661,,,1708.0,5748.0,1.11,c
HD 13908,,,931.0,6255.0,1.67,c
HD 20794,,,18.315,5401.0,,b
Kepler-206,,0.106,23.44281,5764.0,1.19,d
Kepler-207,,0.14,1.611865,5920.0,1.59,b
Kepler-207,,0.295,5.868075,5920.0,1.59,d
Kepler-208,,0.145,4.22864,6092.0,1.31,b
Kepler-208,,0.124,7.466623,6092.0,1.31,c
Kepler-208,,0.132,16.259458,6092.0,1.31,e
Kepler-209,,0.202,16.087845,5513.0,0.94,b
Kepler-209,,0.277,41.749882,5513.0,0.94,c
Kepler-210,,0.262,2.453234,4559.0,0.65,b
Kepler-211,,0.112,4.138575,5123.0,0.82,b
Kepler-211,,0.115,6.04045,5123.0,0.82,c
Kepler-212,,0.097,16.257582,5852.0,1.46,b
Kepler-213,,0.145,2.46236,5696.0,1.2,b
Kepler-213,,0.209,4.822962,5696.0,1.2,c
HAT-P-44,0.352,1.242,4.301219,5295.0,0.95,b
HAT-P-44,,,872.2,5295.0,0.95,c
GJ 163,,,8.63182,3500.0,,b
GJ 163,,,25.63058,3500.0,,c
GJ 163,,,603.95116,3500.0,,d
GJ 581,,,5.3686,,0.29,b
GJ 581,,,12.914,,0.29,c
GJ 667 C,,,7.2004,3350.0,,b
GJ 667 C,,,28.14,3350.0,,c
GJ 667 C,,,39.026,3350.0,,f
GJ 667 C,,,256.2,3350.0,,g
GJ 676 A,6.7,,1051.1,,,b
GJ 676 A,,,3.6005,,,d
GJ 832,,,35.68,3472.0,,c
GJ 876,0.7142,,30.0881,,,c
GJ 876,0.021,,1.93778,,,d
GJ 3293,,,30.5987,3466.0,0.4,b
GJ 3293,,,122.6196,3466.0,0.4,c
HAT-P-13,0.851,1.272,2.91625,5653.0,1.56,b
HAT-P-17,0.534,1.01,10.338523,5246.0,0.84,b
CoRoT-7,0.018,0.141,0.85359159,5259.0,0.82,b
CoRoT-24,0.088,0.44,11.759,4950.0,0.86,c
Kepler-115,,0.097,2.403679,5979.0,1.21,b
Kepler-115,,0.232,8.990889,5979.0,1.21,c
Kepler-116,,0.305,5.968734,6142.0,1.45,b
Kepler-117,0.094,0.719,18.7959228,6150.0,1.61,b
Kepler-117,1.84,1.101,50.790391,6150.0,1.61,c
Kepler-118,,0.175,7.518496,5274.0,1.09,b
Kepler-118,,0.685,20.17202,5274.0,1.09,c
Kepler-119,,0.082,4.125103,5595.0,0.84,c
Kepler-120,,0.192,6.312501,4096.0,0.53,b
Kepler-120,,0.136,12.794585,4096.0,0.53,c
Kepler-121,,0.203,41.008011,5311.0,0.7,c
Kepler-122,,0.209,5.766193,6050.0,1.22,b
Kepler-122,,0.524,12.465988,6050.0,1.22,c
Kepler-122,,0.232,37.993273,6050.0,1.22,e
Kepler-122,0.113,0.156,56.268,6050.0,1.22,f
Kepler-123,,0.262,17.232366,6089.0,1.26,b
Kepler-123,,0.132,26.695074,6089.0,1.26,c
Kepler-124,,0.156,13.821375,4984.0,0.64,c
Kepler-124,,0.099,30.950851,4984.0,0.64,d
Kepler-125,,0.211,4.164389,3810.0,0.51,b
Kepler-126,,0.136,10.495711,6239.0,1.36,b
Kepler-126,,0.141,21.869741,6239.0,1.36,c
Kepler-126,,0.223,100.283134,6239.0,1.36,d
Kepler-127,,0.237,29.393195,6106.0,1.36,c
Kepler-127,,0.236,48.630408,6106.0,1.36,d
Kepler-128,0.097,0.101,15.09,6090.0,1.66,b
Kepler-129,,0.211,15.79186,5770.0,1.64,b
Kepler-129,,0.227,82.20017,5770.0,1.64,c
Kepler-130,,0.091,8.457458,5884.0,1.13,b
Kepler-130,,0.146,87.517905,5884.0,1.13,d
Kepler-131,0.051,0.215,16.092,5685.0,1.03,b
Kepler-132,,0.108,6.178196,6003.0,1.18,b
Kepler-132,,0.138,18.010199,6003.0,1.18,d
Kepler-133,,0.157,8.129976,5736.0,1.43,b
Kepler-133,,0.253,31.517586,5736.0,1.43,c
Kepler-134,,0.178,5.317429,5983.0,1.18,b
Kepler-135,,0.161,6.00253,6090.0,1.27,b
Kepler-135,,0.103,11.448708,6090.0,1.27,c
Kepler-136,,0.183,11.5789,6165.0,1.35,b
Kepler-137,,0.131,8.436387,5187.0,0.8,b
Kepler-137,,0.168,18.735753,5187.0,0.8,c
Kepler-138,0.00201,0.108,23.0881,3841.0,0.44,d
Kepler-139,,0.262,15.771044,5594.0,1.3,b
Kepler-139,,0.302,157.072878,5594.0,1.3,c
Kepler-140,,0.161,91.353282,6077.0,1.29,c
Kepler-141,,0.062,3.107675,4910.0,0.79,b
Kepler-141,,0.126,7.010606,4910.0,0.79,c
Kepler-142,,0.255,4.761702,5790.0,1.27,c
Kepler-142,,0.193,41.809118,5790.0,1.27,d
Kepler-143,,0.215,16.007583,5848.0,1.36,b
Kepler-143,,0.301,27.082511,5848.0,1.36,c
Kepler-144,,0.119,5.885273,6075.0,1.24,b
Kepler-144,,0.12,10.104665,6075.0,1.24,c
Kepler-145,0.117,0.236,22.951,6022.0,1.85,b
Kepler-145,0.25,0.385,42.882,6022.0,1.85,c
Kepler-146,,0.331,31.158799,5948.0,1.21,b
Kepler-146,,0.279,76.732171,5948.0,1.21,c
Kepler-147,,0.136,12.610584,6012.0,1.47,b
Kepler-147,,0.217,33.416423,6012.0,1.47,c
Kepler-148,,0.161,1.729366,5272.0,0.85,b
Kepler-148,,0.321,4.180043,5272.0,0.85,c
Kepler-149,,0.376,29.198943,5381.0,0.95,b
Kepler-149,,0.144,55.328328,5381.0,0.95,c
Kepler-149,,0.353,160.018032,5381.0,0.95,d
Kepler-150,,0.112,3.428054,5560.0,0.94,b
Kepler-150,,0.249,12.56093,5560.0,0.94,d
Kepler-150,,0.278,30.826557,5560.0,0.94,e
Kepler-151,,0.273,15.228958,5460.0,0.83,b
Kepler-152,,0.249,18.207973,5088.0,0.72,b
Kepler-152,,0.213,88.255055,5088.0,0.72,c
Kepler-153,,0.261,18.870227,5404.0,0.89,b
Kepler-153,,0.226,46.90232,5404.0,0.89,c
Kepler-154,,0.263,62.303276,5690.0,1.0,c
Kepler-155,,0.186,5.931194,4508.0,0.62,b
Kepler-155,,0.2,52.661793,4508.0,0.62,c
Kepler-156,,0.227,15.906801,5094.0,0.81,c
Kepler-157,,0.118,1.732342,5774.0,1.04,b
Kepler-157,,0.2,13.5405,5774.0,1.04,c
Kepler-158,,0.17,28.551383,4623.0,0.62,c
Kepler-159,,0.212,10.139623,4625.0,0.66,b
Kepler-159,,0.304,43.595792,4625.0,0.66,c
Kepler-160,,0.137,4.309427,5857.0,0.88,b
Kepler-161,,0.189,4.921355,5078.0,0.81,b
Kepler-161,,0.183,7.06424,5078.0,0.81,c
Kepler-162,,0.112,6.919798,5816.0,0.96,b
Kepler-163,,0.094,7.810937,5776.0,0.92,b
Kepler-163,,0.202,21.347262,5776.0,0.92,c
Kepler-164,,0.126,5.03503,5888.0,1.15,b
Kepler-164,,0.219,28.986769,5888.0,1.15,d
Kepler-165,,0.207,8.180848,5211.0,0.77,b
Kepler-165,,0.199,15.31299,5211.0,0.77,c
Kepler-166,,0.212,34.260281,5413.0,0.74,c
Kepler-167,,0.144,4.3931632,4890.0,0.73,b
Kepler-167,,0.138,7.406114,4890.0,0.73,c
Kepler-46,6.0,0.808,33.60134,5309.0,0.79,b
Kepler-46,,0.146,6.766589,5309.0,0.79,d
Kepler-47,2.0,0.27,49.532,5636.0,0.96,b
Kepler-47,28.0,0.411,303.137,5636.0,0.96,c
Kepler-48,0.04597,0.242,9.67395,5194.0,0.89,c
Kepler-48,2.067,,982.0,5194.0,0.89,e
Kepler-49,0.98,0.243,7.2037945,4252.0,0.56,b
Kepler-49,,0.143,2.576549,4252.0,0.56,d
Kepler-49,,0.139,18.596108,4252.0,0.56,e
Kepler-50,,0.153,7.81254,6225.0,1.58,b
Kepler-51,0.007,0.633,45.154,6018.0,0.94,b
Kepler-51,0.013,0.803,85.312,6018.0,0.94,c
Kepler-51,0.024,0.865,130.194,6018.0,0.94,d
Kepler-52,10.41,0.164,16.3850021,4263.0,0.56,c
Kepler-52,,0.174,36.445171,4263.0,0.56,d
Kepler-53,18.41,0.258,18.6489525,5858.0,0.89,b
Kepler-53,,0.189,9.751962,5858.0,0.89,d
Kepler-54,0.92,0.187,8.0109434,4252.0,0.55,b
Kepler-54,0.37,0.11,12.0717249,4252.0,0.55,c
Kepler-54,,0.136,20.995694,4252.0,0.55,d
Kepler-55,1.11,0.197,42.1516418,4503.0,0.62,c
Kepler-55,,0.142,2.211099,4503.0,0.62,d
Kepler-55,,0.138,4.617534,4503.0,0.62,e
Kepler-56,0.07,0.581,10.5016,4840.0,4.23,b
Kepler-56,0.57,0.874,21.40239,4840.0,4.23,c
Kepler-57,18.86,0.195,5.7293196,5145.0,0.73,b
Kepler-58,1.39,0.248,10.2184954,6099.0,1.13,b
Kepler-58,2.19,0.255,15.5741568,6099.0,1.13,c
Kepler-58,,0.262,40.101371,6099.0,1.13,d
Kepler-59,2.05,0.098,11.8681707,6074.0,0.94,b
Kepler-60,0.01318,0.153,7.1334,5905.0,1.26,b
Kepler-60,0.01211,0.17,8.9187,5905.0,1.26,c
Kepler-60,0.01309,0.178,11.8981,5905.0,1.26,d
Kepler-62,0.03,0.117,5.714932,4925.0,0.64,b
Kepler-62,0.013,0.048,12.4417,4925.0,0.64,c
Kepler-62,0.044,0.174,18.16406,4925.0,0.64,d
Kepler-62,0.11,0.126,267.291,4925.0,0.64,f
Kepler-65,,0.127,2.15491,6211.0,1.41,b
Kepler-65,,0.136,8.13123,6211.0,1.41,d
Kepler-68,0.01878,0.208,5.39875,5793.0,1.24,b
Kepler-68,0.02265,0.089,9.60504,5793.0,1.24,c
Kepler-69,,0.2,13.722341,5638.0,0.93,b
Kepler-69,,0.153,242.4613,5638.0,0.93,c
KOI-55,0.0014,0.068,0.240104,27730.0,0.2,b
KOI-55,0.0021,0.077,0.342887,27730.0,0.2,c
HD 20794,,,90.309,5401.0,,d
HD 27894,,,18.02,,,b
HD 30177,,,2524.4,5580.0,,b
HD 34445,,,1056.7,5836.0,1.38,b
HD 37124,,,154.378,,,b
HD 37124,,,1862.0,,,d
HD 37605,,,55.01307,5448.0,0.9,b
HD 38529,,,14.3098,5697.0,,b
HD 38529,,,2140.2,5697.0,,c
HD 40307,,,4.3123,4956.0,,b
HD 40307,,,20.432,4956.0,,d
HD 40307,,,51.76,4956.0,,f
HD 45364,,,226.93,,,b
HD 47186,,,4.0845,5675.0,,b
HD 60532,,,201.9,6245.0,2.57,b
HD 60532,,,600.1,6245.0,2.57,c
HD 65216,,,572.4,5666.0,,b
HD 67087,,,2374.0,6330.0,1.55,c
HD 69830,,,31.56,5385.0,,c
HD 69830,,,197.0,5385.0,,d
HD 73526,,,188.9,,,b
HD 74156,,,51.645,6068.0,,b
HD 74156,,,2473.0,6068.0,,c
HD 82943,1.959,,220.078,6016.0,,c
HD 108874,,,395.8,5551.0,,b
HD 108874,,,1624.0,5551.0,,c
HD 109271,,,30.93,5783.0,,c
HD 113538,,,663.2,4462.0,0.53,b
HD 113538,,,1818.0,4462.0,0.53,c
HD 125612,,,559.4,5900.0,,b
HD 125612,,,4.1547,5900.0,,c
HD 128311,,,453.019,,0.76,b
HD 128311,3.789,,921.538,,0.76,c
HD 134987,,,258.19,5585.0,1.25,b
HD 147018,,,44.236,5441.0,,b
HD 154857,,,408.6,5605.0,1.76,b
HD 155358,,,194.3,,,b
HD 155358,,,391.9,,,c
HD 159243,,,12.62,6123.0,1.12,b
HD 159243,,,248.4,6123.0,1.12,c
HD 159868,,,352.3,5558.0,,c
HD 160691,,,643.25,5807.0,,b
HD 160691,,,9.6386,5807.0,,d
HD 160691,,,310.55,5807.0,,e
HD 163607,,,1314.0,5543.0,1.63,c
HD 164922,,,1201.1,5293.0,1.0,b
HD 168443,,,58.11247,5491.0,1.51,b
HD 168443,,,1749.83,5491.0,1.51,c
HD 169830,,,2102.0,6299.0,,c
HD 177830,,,406.6,4949.0,2.62,b
HD 177830,,,110.9,4949.0,2.62,c
HD 181433,,,9.3743,4962.0,,b
HD 181433,,,2172.0,4962.0,,d
HD 183263,,,626.5,5936.0,,b
HD 215497,,,567.94,5113.0,,c
HD 217107,,,4270.0,5646.0,,c
HIP 5158,,,9017.76,4962.0,,c
HIP 14810,,,147.73,5485.0,1.0,c
HIP 14810,,,952.0,5485.0,1.0,d
GJ 1148,,,41.38,,,b
HIP 57274,,,8.1352,,,b
HIP 57274,,,431.7,,,d
HIP 67851,,,2131.8,4890.0,5.92,c
HD 183263,,,3070.0,5936.0,,c
HD 187123,,,3.0965828,5830.0,,b
HD 187123,,,3810.0,5830.0,,c
HD 190360,,,2915.0,5590.0,1.13,b
HD 190360,,,17.111,5590.0,1.13,c
HD 192310,,,74.72,5166.0,,b
HD 200964,,,613.8,5164.0,4.3,b
HD 200964,,,825.0,5164.0,4.3,c
HD 202206,,,1383.4,5765.0,,c
HD 204313,,,2024.1,5776.0,,b
HD 207832,,,161.97,5710.0,0.9,b
HD 207832,,,1155.7,5710.0,0.9,c
Kepler-18,0.054,0.49,7.64159,5345.0,1.11,c
Kepler-18,0.052,0.623,14.85888,5345.0,1.11,d
Kepler-19,0.02643,,9.28716,5544.0,0.86,b
Kepler-20,0.03052,0.167,3.69611525,5495.0,0.96,b
Kepler-20,0.04012,0.272,10.85409089,5495.0,0.96,c
Kepler-20,0.03168,0.245,77.61130017,5495.0,0.96,d
Kepler-20,,0.089,19.57758478,5495.0,0.96,f
Kepler-23,0.8,0.17,7.1073,5828.0,1.55,b
Kepler-23,,0.196,15.274299,5828.0,1.55,d
